Src Dir,Src Item,Dest Dir,Dest Item,Version,Audio Dir,Audio Item
/Users/david/Dropbox/Oakleigh Brass Large Files/Staging music/Craigielee,craigielee,/Users/david/Dropbox/Oakleigh Brass Large Files/Current Music/Green Folder,Craigielee,,,
/Users/david/Dropbox/Oakleigh Brass Large Files/Staging music/Fleurs d'Australie,fleurs,/Users/david/Dropbox/Oakleigh Brass Large Files/Current Music/Green Folder,Fleurs d'Australie,0.1,/Users/david/Dropbox/Oakleigh Brass Large Files/Virtual Rehearsals/Backing Files,fleurs.mp3
